,title,link,price,cat
0,AAT Foundation Award in Accounting Software (Level 2),https://www.e-careers.com/courses/aat-foundation-award-accounting-software-level-2,£208,bookkeeping
1,AAT Access Award in Accounting Software,https://www.e-careers.com/courses/aat-access-award-accounting-software,£208,bookkeeping
2,AAT Access Award in Bookkeeping,https://www.e-careers.com/courses/aat-access-award-bookkeeping,£208,bookkeeping
3,AAT Level 2 Foundation Certificate & Level 3 Advanced Certificate in Bookkeeping,https://www.e-careers.com/courses/aat-level-2-foundation-certificate-level-3-advanced-certificate-in-bookkeeping,£646,bookkeeping
4,AAT Foundation Certificate in Bookkeeping (Level 2),https://www.e-careers.com/courses/aat-foundation-certificate-bookkeeping-level-2,£292,bookkeeping
5,AAT Advanced Certificate in Bookkeeping (Level 3),https://www.e-careers.com/courses/aat-level-3-advanced-certificate-in-bookkeeping,£583,bookkeeping
6,Bookkeeping Masterclass with AAT,https://www.e-careers.com/courses/bookkeeping-masterclass-with-aat,£583,bookkeeping
7,ICB Affiliate - Level 2 Certificate in Bookkeeping,https://www.e-careers.com/courses/icb-affiliate-level-2-certificate-bookkeeping,£500,bookkeeping
8,"ICB Associate - Level 3 Certificate in Bookkeeping & Accounts (M4, M5, M6, M7, M8)",https://www.e-careers.com/courses/icb-level-3-bookkeeping-accounts,£646,bookkeeping
9,ICB Level 2 & 3 - Bookkeeping & Accounts,https://www.e-careers.com/courses/icb-level-2-3-bookkeeping-accounts,"£1,042",bookkeeping
10,Computerised Accounting for Business L1,https://www.e-careers.com/courses/computerised-accounting-business-level-1,£167,bookkeeping
11,Computerised Accounting for Business L2,https://www.e-careers.com/courses/computerised-accounting-business-level-2,£250,bookkeeping
12,Sage Master Package,https://www.e-careers.com/courses/sage-master-package,£396,bookkeeping
