,title,link,price,cat
0,An Introduction to Nannying,https://www.e-careers.com/courses/an-introduction-nannying,£75,childcare
1,Asperger's - Online Course,https://www.e-careers.com/courses/aspergers-online-course,£75,childcare
2,Attention Deficit Hyperactivity Disorder,https://www.e-careers.com/courses/attention-deficit-hyperactivity-disorder,£75,childcare
3,Babysitting - Online Course,https://www.e-careers.com/courses/babysitting-online-course,£75,childcare
4,The Prevent Duty - Online Course,https://www.e-careers.com/courses/the-prevent-duty-online-course,£75,childcare
5,Caring for the Children in the Home,https://www.e-careers.com/courses/caring-for-the-children-the-home,£167,childcare
6,Child Development - Online Course,https://www.e-careers.com/courses/child-development-online-course,£75,childcare
7,Communication and the Early Years Foundation Stage,https://www.e-careers.com/courses/communication-the-early-years-foundation-stage,£75,childcare
8,Developing the Children In Your Care,https://www.e-careers.com/courses/developing-the-children-your-care,£167,childcare
9,E-Safety - Online Course,https://www.e-careers.com/courses/e-safety-online-course,£75,childcare
10,Early Years – Your Responsibilities,https://www.e-careers.com/courses/early-years-your-responsibilities,£167,childcare
11,Effective Supervision in the Early Years,https://www.e-careers.com/courses/effective-supervision-the-early-years,£75,childcare
12,Health and Safety in Early Years,https://www.e-careers.com/courses/health-safety-early-years,£75,childcare
13,Inclusion - Online Course,https://www.e-careers.com/courses/inclusion-online-course,£75,childcare
14,Introduction to Safeguarding,https://www.e-careers.com/courses/introduction-safeguarding,£75,childcare
15,Leadership in the Early Years,https://www.e-careers.com/courses/leadership-the-early-years,£167,childcare
16,Level 2 Sign Language Diploma,https://www.e-careers.com/courses/level-2-sign-language-diploma,£40,childcare
17,Managing Behaviour - Online Course,https://www.e-careers.com/courses/managing-behaviour-online-course,£75,childcare
18,Managing Safeguarding,https://www.e-careers.com/courses/managing-safeguarding,£75,childcare
19,Nutrition in the Early Years,https://www.e-careers.com/courses/nutrition-the-early-years,£75,childcare
20,Observing Children - Online Course,https://www.e-careers.com/courses/observing-children-online-course,£75,childcare
21,Outdoor Play - Online Course,https://www.e-careers.com/courses/outdoor-play-online-course,£75,childcare
22,Parenting - Online Course,https://www.e-careers.com/courses/parenting-online-course,£75,childcare
23,Parents Essentials,https://www.e-careers.com/courses/parents-essentials-online-course,£167,childcare
24,Recognising and Supporting Children with Special Educational Needs,https://www.e-careers.com/courses/recognising-supporting-children-with-special-educational-needs,£75,childcare
25,Special Needs in the Early Years,https://www.e-careers.com/courses/special-needs-the-early-years,£167,childcare
26,Understanding the Revised Early Years Foundation Stage,https://www.e-careers.com/courses/understanding-the-revised-early-years-foundation-stage,£75,childcare
27,Your Role in the Early Years,https://www.e-careers.com/courses/your-role-the-early-years,£167,childcare
