,title,link,price,cat
0,Introduction to the Principles of GDPR,https://www.e-careers.com/courses/introduction-to-the-principles-of-gdpr,£83,cyber-security
1,AWS Cloud & Architect Associate Programme,https://www.e-careers.com/courses/aws-cloud-architect-associate-level-programme,missing,cyber-security
2,CompTIA CASP+ (CAS-003) - Online,https://www.e-careers.com/courses/comptia-advanced-security-practitioner-live-labs,£708,cyber-security
3,CompTIA CySA+ (CS0-002) - Online,https://www.e-careers.com/courses/comptia-cyber-security-analyst-cysa-package,£688,cyber-security
4,Cyber Incident Planning & Response — GCHQ Certified Training - Classroom,https://www.e-careers.com/courses/cyber-incident-planning-response-gchq-certified-training-classroom,  From £695,cyber-security
5,Cyber Incident Planning & Response — GCHQ Certified Training - LiveOnline,https://www.e-careers.com/courses/cyber-incident-planning-response-gchq-certified-training-liveonline,  From £695,cyber-security
6,Cyber Security Certification Programme with Job Guarantee,https://www.e-careers.com/courses/cyber-security-certification-job-guarantee,missing,cyber-security
7,Cyber Security Risk Assessment & Management Training - Classroom,https://www.e-careers.com/courses/cyber-security-risk-assessment-management-training-classroom,"  From £1,995",cyber-security
8,Cyber Security Risk Assessment & Management Training - LiveOnline,https://www.e-careers.com/courses/cyber-security-risk-assessment-management-training-liveonline,"  From £1,995",cyber-security
9,Defending the Perimeter from Cyber Attacks Training - Classroom,https://www.e-careers.com/courses/defending-the-perimeter-from-cyber-attacks-training-classroom,"  From £1,995",cyber-security
10,Defending the Perimeter from Cyber Attacks Training - LiveOnline,https://www.e-careers.com/courses/defending-the-perimeter-from-cyber-attacks-training-liveonline,"  From £1,995",cyber-security
11,Penetration Testing Training: Tools and Techniques - Classroom,https://www.e-careers.com/courses/penetration-testing-training-tools-and-techniques-classroom,"£1,995",cyber-security
12,Penetration Testing Training: Tools and Techniques - LiveOnline,https://www.e-careers.com/courses/penetration-testing-training-tools-and-techniques-liveonline,"  From £1,995",cyber-security
13,Starter Guide to Cyber Security - Classroom,https://www.e-careers.com/courses/starter-guide-to-cyber-security-classroom,£675,cyber-security
14,Starter Guide to Cyber Security - LiveOnline,https://www.e-careers.com/courses/starter-guide-to-cyber-security-liveonline,  From £675,cyber-security
15,System and Network Security Introduction Training - Classroom,https://www.e-careers.com/courses/system-and-network-security-introduction-training-classroom,"  From £1,995",cyber-security
16,System and Network Security Introduction Training - LiveOnline,https://www.e-careers.com/courses/system-and-network-security-introduction-training-liveonline,"  From £1,995",cyber-security
