,title,link,price,cat
0,Introduction to Microsoft Excel - Classroom,https://www.e-careers.com/courses/introduction-to-microsoft-excel-classroom,"  From £1,413",microsoft-office
1,Introduction to Microsoft Excel - LiveOnline,https://www.e-careers.com/courses/introduction-to-microsoft-excel-liveonline,"  From £1,413",microsoft-office
2,Microsoft Office 2016 - Library of 15 Interactive Courses,https://www.e-careers.com/courses/microsoft-office-2016-library-of-15-interactive-courses,£63,microsoft-office
3,Microsoft Office Access 2016,https://www.e-careers.com/courses/access-2016-official-microsoft-office-course,£30,microsoft-office
4,Microsoft Office Excel 2016,https://www.e-careers.com/courses/excel-2016-official-microsoft-office-course,£40,microsoft-office
5,Microsoft Office Outlook 2016,https://www.e-careers.com/courses/outlook-2016-official-microsoft-office-course,£30,microsoft-office
6,Microsoft Office Powerpoint 2016,https://www.e-careers.com/courses/microsoft-office-powerpoint-2016,£30,microsoft-office
7,Microsoft Office Word 2016,https://www.e-careers.com/courses/microsoft-word-2016,£30,microsoft-office
8,Office 365 Training: Maximising the Productivity Potential - Classroom,https://www.e-careers.com/courses/office-365-training-maximising-the-productivity-potential-classroom,"  From £1,195",microsoft-office
9,Office 365 Training: Maximising the Productivity Potential - LiveOnline,https://www.e-careers.com/courses/office-365-training-maximising-the-productivity-potential-liveonline,"  From £1,195",microsoft-office
