,title,link,price,cat
0,"AWS Cloud, Architect & Operations - Associate Programme",https://www.e-careers.com/courses/aws-cloud-expert-programme,missing,networking-it
1,AWS Training: A Comprehensive Introduction to Amazon Web Services - Classroom,https://www.e-careers.com/courses/aws-training-a-comprehensive-introduction-to-amazon-web-services,"  From £1,995",networking-it
2,AWS Training: A Comprehensive Introduction to Amazon Web Services - LiveOnline,https://www.e-careers.com/courses/aws-training-a-comprehensive-introduction-to-amazon-web-services-liveonline,"  From £1,995",networking-it
3,Cisco CCNA & CCNP - Routing & Switching Package,https://www.e-careers.com/courses/cisco-ccna-ccnp-routing-switching-package,£200,networking-it
4,"Cisco CCNA - Routing & Switching (200-125 CCNAX, 100-105 ICND1, 200-105 ICND2)",https://www.e-careers.com/courses/cisco-ccna-routing-switching-courseware,£200,networking-it
5,"Cisco CCNP - Routing & Switching (300-101 ROUTE, 300-115 SWITCH, 300-135 TSHOOT)",https://www.e-careers.com/courses/cisco-ccnp-routing-switching-courseware,£200,networking-it
6,COBIT 5 Foundation,https://www.e-careers.com/courses/cobit-5-foundation,£100,networking-it
7,CompTIA A+ (220-1001 & 220-1002) - Online,https://www.e-careers.com/courses/comptia-a-220-1001-220-1002-core-series,£708,networking-it
8,CompTIA A+ (220-1001 & 220-1002) - Classroom,https://www.e-careers.com/courses/comptia-a-certification-training,"  From £1,450",networking-it
9,CompTIA A+ (220-1001 & 220-1002) - LiveOnline,https://www.e-careers.com/courses/comptia-a-certification-training-live-online,"  From £1,450",networking-it
10,CompTIA CASP+ (CAS-003) - Classroom,https://www.e-careers.com/courses/comptia-advanced-security-practitioner-casp-certification-training-classroom,"  From £1,995",networking-it
11,CompTIA CASP+ (CAS-003) - LiveOnline,https://www.e-careers.com/courses/comptia-advanced-security-practitioner-casp-certification-training-liveonline,"  From £1,995",networking-it
12,CompTIA CASP+ (CAS-003) - Online,https://www.e-careers.com/courses/comptia-advanced-security-practitioner-live-labs,£708,networking-it
13,CompTIA Cloud Essentials (CLO-001) - Online,https://www.e-careers.com/courses/comptia-cloud-essentials-clo-001,£104,networking-it
14,CompTIA Cloud+ (CV0-002) - Classroom,https://www.e-careers.com/courses/comptia-cloud-certification-training-classroom,"  From £1,750",networking-it
15,CompTIA Cloud+ (CV0-002) - LiveOnline,https://www.e-careers.com/courses/comptia-cloud-certification-training-liveonline,"  From £1,750",networking-it
16,CompTIA Cloud+ (CV0-002) - Online,https://www.e-careers.com/courses/comptia-cloud,£208,networking-it
17,CompTIA CySA+ (CS0-002) - Online,https://www.e-careers.com/courses/comptia-cyber-security-analyst-cysa-package,£688,networking-it
18,CompTIA IT Fundamentals+ (FC0-U61) - Online,https://www.e-careers.com/courses/comptia-it-fundamentals-course,£40,networking-it
19,CompTIA Network+ (N10-007) - Classroom,https://www.e-careers.com/courses/comptia-network-certification-training-classroom,"  From £1,795",networking-it
20,CompTIA Network+ (N10-007) - LiveOnline,https://www.e-careers.com/courses/comptia-network-certification-training-liveonline,"  From £1,795",networking-it
21,CompTIA Network+ (N10-007) - Online,https://www.e-careers.com/courses/comptia-network-with-live-labs,£604,networking-it
22,CompTIA PenTest+ Certification Training - Classroom,https://www.e-careers.com/courses/comptia-pentest-certification-training-classroom,"  From £1,650",networking-it
23,CompTIA PenTest+ Certification Training - LiveOnline,https://www.e-careers.com/courses/comptia-pentest-certification-training-liveonline,"  From £1,650",networking-it
24,CompTIA Security+ (SY0-501) - Classroom,https://www.e-careers.com/courses/comptia-security-certification-classroom,"  From £1,695",networking-it
25,CompTIA Security+ (SY0-501) - LiveOnline,https://www.e-careers.com/courses/comptia-security-certification-training-liveonline,"  From £1,695",networking-it
26,CompTIA Security+ (SY0-501) - Online,https://www.e-careers.com/courses/official-comptia-security-sy0-501,£625,networking-it
27,Introduction to Big Data Training - Classroom,https://www.e-careers.com/courses/introduction-to-big-data-training-classroom,"  From £1,650",networking-it
28,Introduction to Big Data Training - LiveOnline,https://www.e-careers.com/courses/introduction-to-big-data-training-liveonline,"  From £1,650",networking-it
29,Introduction to Cloud Computing Training - Classroom,https://www.e-careers.com/courses/introduction-to-cloud-computing-training,"  From £1,650",networking-it
30,Introduction to Cloud Computing Training - LiveOnline,https://www.e-careers.com/courses/introduction-to-cloud-computing-training-liveonline,"  From £1,650",networking-it
31,"Introduction to Data Science, Machine Learning & AI, Training Course - Classroom",https://www.e-careers.com/courses/introduction-to-data-science-machine-learning-ai-training-course,"  From £2,395",networking-it
32,"Introduction to Data Science, Machine Learning & AI, Training Course - LiveOnline",https://www.e-careers.com/courses/introduction-to-data-science-machine-learning-ai-training-course-liveonline,"  From £2,395",networking-it
33,IT Professional Certification Programme,https://www.e-careers.com/courses/it-professional-certification-programme,missing,networking-it
34,IT Support Certification Programme with Job Guarantee,https://www.e-careers.com/courses/support-certification-job-guarantee,missing,networking-it
