,title,link,price,cat
0,An Enabling Learning Environment,https://www.e-careers.com/courses/an-enabling-learning-environment,£75,teaching
1,Building a Team - Online Course,https://www.e-careers.com/courses/building-a-team-online-course,£75,teaching
2,Continuous Professional Development,https://www.e-careers.com/courses/continuous-professional-development,£75,teaching
3,Cultural Awareness - Online Course,https://www.e-careers.com/courses/cultural-awareness-online-course,£75,teaching
4,First Time Leadership,https://www.e-careers.com/courses/first-time-leadership,£75,teaching
5,Fulfilling the Role of the Key Person,https://www.e-careers.com/courses/fulfilling-the-role-of-the-key-person,£75,teaching
6,KEEP - the Key Elements of Effective Practice,https://www.e-careers.com/courses/keep-the-key-elements-of-effective-practice,£75,teaching
7,Level 3 Teaching Assistant Resources,https://www.e-careers.com/courses/level-3-teaching-assistant,£200,teaching
8,Managing People - Online Course,https://www.e-careers.com/courses/managing-people-online-course,£75,teaching
9,Partnership with Parents,https://www.e-careers.com/courses/partnership-with-parents,£75,teaching
10,Self Evaluation - Online Course,https://www.e-careers.com/courses/self-evaluation-online-course,£75,teaching
11,Teaching Assistant Core,https://www.e-careers.com/courses/teaching-assistant-core,£200,teaching
12,Teaching Assistant Special Education Needs,https://www.e-careers.com/courses/teaching-assistant-special-education-needs,£200,teaching
13,Understanding Leadership and Management,https://www.e-careers.com/courses/understanding-leadership-management,£75,teaching
